product,date,quantity,revenue,region
Laptop,2024-01-15,5,5999.95,North
Mouse,2024-01-15,25,624.75,North
Keyboard,2024-01-15,15,1049.85,North
Monitor,2024-01-16,8,3199.92,South
Laptop,2024-01-16,3,3599.97,South
Mouse,2024-01-16,30,749.70,South
Headphones,2024-01-17,20,1999.80,East
Keyboard,2024-01-17,12,839.88,East
Monitor,2024-01-17,5,1999.95,East
Laptop,2024-01-18,7,8399.93,West
Mouse,2024-01-18,40,999.60,West
Keyboard,2024-01-18,18,1259.82,West
Webcam,2024-01-19,15,1124.85,North
Headphones,2024-01-19,25,2499.75,North
Monitor,2024-01-19,10,3999.90,South
Laptop,2024-01-20,4,4799.96,South
Mouse,2024-01-20,35,874.65,East
Keyboard,2024-01-20,20,1399.80,East
Headphones,2024-01-21,18,1799.82,West
Webcam,2024-01-21,12,899.88,West
Monitor,2024-01-22,6,2399.94,North
Laptop,2024-01-22,9,10799.91,North
Mouse,2024-01-22,45,1124.55,South
Keyboard,2024-01-22,22,1539.78,South
Webcam,2024-01-23,20,1499.80,East
Headphones,2024-01-23,30,2999.70,East
Monitor,2024-01-24,12,4799.88,West
Laptop,2024-01-24,6,7199.94,West
Mouse,2024-01-25,50,1249.50,North
Keyboard,2024-01-25,25,1749.75,North
